fname,group,Order,comments,sdkproposed field,Formula
actions,PerformanceandClicks,,Link Clicks,"    'actions:link_click',",
cost_per_unique_click,PerformanceandClicks,,CPC (Cost per Link Click),,
unique_ctr,PerformanceandClicks,,CTR (Link Click-Through Rate),,
actions,PerformanceandClicks,,Page Likes,actions:like,
actions,CrossDevice,,mobile app installs,"    'actions:mobile_app_install',",
impressions,MessengerEngagement,,impresssions,,
actions,MessengerEngagement,,Link Clicks,"    'actions:link_click',",
actions,MessengerEngagement,,Messaging Replies,messenger.reply,
actions,MessengerEngagement,,Blocked Messaging Conversations,onsite_conversion.messaging_block,
actions,MessengerEngagement,,New Messaging Conversations,cnsite_conversion.messaging_first_reply,
actions,MessengerEngagement,,On-Facebook Purchases,onsite_conversion.purchase,
cost_per_action_type,MessengerEngagement,,Cost per On-Facebook Purchase,onsite_conversion.purchase,
spend,MessengerEngagement,,On-Facebook Purchase Conversion Value,,Total Amount spent / On-FacebookPurchases 
account_id,Performance,,Extra,,
account_name,Performance,,Extra,,
action_values,Performance,,Extra,,
actions,Performance,1,Results,actions_post_engagement,
ad_id,Performance,,Extra,,
ad_name,Performance,,Extra,,
adset_id,Performance,,Extra,,
adset_name,Performance,,Extra,,
buying_type,Performance,,Extra,,
call_to_action_clicks,Performance,,Extra,,
campaign_id,Performance,,Extra,,
campaign_name,Performance,,Extra,,
canvas_avg_view_percent,Performance,,Extra,,
canvas_avg_view_time,Performance,,Extra,,
canvas_component_avg_pct_view,Performance,,Extra,,
clicks,Performance,,Extra,,
cost_per_10_sec_video_view,Performance,,Extra,,
cost_per_action_type,Performance,3,Cost Per Result,cost_per_action_type_post_engagement,
cost_per_estimated_ad_recallers,Performance,,Extra,,
cost_per_inline_link_click,Performance,,Extra,,
cost_per_inline_post_engagement,Performance,,Extra,,
cost_per_outbound_click,Performance,,Extra,,
cost_per_total_action,Performance,,Extra,,
cost_per_unique_action_type,Performance,,Extra,,
cost_per_unique_click,Performance,,Extra,,
cost_per_unique_inline_link_click,Performance,,Extra,,
cost_per_unique_outbound_click,Performance,,Extra,,
cpc,Performance,,Extra,,
cpm,Performance,,Extra,,
cpp,Performance,,Extra,,
ctr,Performance,,Extra,,
date_start,Performance,,Extra,,
date_stop,Performance,,Extra,,
estimated_ad_recallers,Performance,,Extra,,
estimated_ad_recall_rate,Performance,,Extra,,
frequency,Performance,,Extra,,
impressions,Performance,,Extra,,
inline_link_click_ctr,Performance,,Extra,,
inline_link_clicks,Performance,,Extra,,
inline_post_engagement,Performance,,Extra,,
mobile_app_purchase_roas,Performance,,Extra,,
objective,Performance,,Extra,,
outbound_clicks,Performance,,Extra,,
outbound_clicks_ctr,Performance,,Extra,,
place_page_name,Performance,,Extra,,
reach,Performance,,Extra,,
relevance_score,Performance,,Extra,,
social_clicks,Performance,,Extra,,
social_impressions,Performance,,Extra,,
social_reach,Performance,,Extra,,
social_spend,Performance,,Extra,,
spend,Performance,4,Amount Spent,spend,
total_action_value,Performance,,Extra,,
total_actions,Performance,,Extra,,
total_unique_actions,Performance,,Extra,,
unique_actions,Performance,,Extra,,
unique_clicks,Performance,,Extra,,
unique_ctr,Performance,,Extra,,
unique_link_clicks_ctr,Performance,,Extra,,
unique_outbound_clicks,Performance,,Extra,,
unique_outbound_clicks_ctr,Performance,,Extra,,
unique_social_clicks,Performance,,Extra,,
video_10_sec_watched_actions,Performance,,Extra,,
video_15_sec_watched_actions,Performance,,Extra,,
video_30_sec_watched_actions,Performance,,Extra,,
video_avg_percent_watched_actions,Performance,,Extra,,
video_avg_time_watched_actions,Performance,,Extra,,
video_p100_watched_actions,Performance,,Extra,,
video_p25_watched_actions,Performance,,Extra,,
video_p50_watched_actions,Performance,,Extra,,
video_p75_watched_actions,Performance,,Extra,,
video_p95_watched_actions,Performance,,Extra,,
website_ctr,Performance,,Extra,,
website_purchase_roas,Performance,,Extra,,
